delay_location|coordinates
BROADVIEW AND WOLFREY|(43.6742466, -79.3570514)
SPADINA/KING|(43.6527581, -79.398087)
CHURCH AND CARLTON|(43.6621911, -79.38024349999999)
HIGH PARK LOOP|(43.6478206, -79.4582002)
DOVERCOURT AND COLLEGE|(43.658187, -79.4281812)
LAKESHORE AND KIPLING|(43.5982045, -79.5169695)
QUEEN AND BEVERLY|(43.6496392, -79.39211639999999)
SPADINA AND NASSAU|(43.6558393, -79.3993082)
RUSSELL YARD|(nan, nan)
BLOOR LOOP|(43.6702395, -79.3867779)
KING AND JARVIS|(nan, nan)
RUSSELL EQUIPMENT.|(41.2929199, -81.45574739999999)
ST CLAIR/BATHURST|(43.6841497, -79.4191079)
QUEEN AT BROADVIEW|(nan, nan)
RONCESVALLES AT QUEEN|(43.6464617, -79.4435762)
GERRARD AND BOWMORE DR|(43.6780623, -79.31499149999999)
BAY AND COLLEGE|(43.6601235, -79.38506819999999)
SPADINA AND QUEENS QUAY|(43.6487579, -79.396276)
PARLIAMENT AND GERRARD|(43.66194780000001, -79.36702509999999)
506 CARLTON|(nan, nan)
EXHIBITION LOOP TO UNION STN|(43.6362392, -79.4155857)
DUNDAS WEST TO BROADVIEW STATIONS|(43.6769104, -79.3581849)
QUEENSWAY AND RONCESVALLES|(43.6387919, -79.4461334)
BATHURST STATION TO CNE LOOP|(43.6660011, -79.4112152)
KING AT PARLIAMENT|(nan, nan)
DUNDAS ST. W. AT RONCESVALLES|(43.653687, -79.45135499999999)
GUNNS LOOP TO ST CLAIR STATION|(43.671913, -79.47184)
QUEEN AND SPADINA|(43.6487579, -79.396276)
QUEEN AND VICTORIA|(43.6525574, -79.3782876)
KING AND SPADINA.|(43.64550450000001, -79.39492159999999)
KING AND BLUE JAY WAY|(43.6460368, -79.3923068)
DUNDAS WEST STN|(43.6568393, -79.45333409999999)
BROADVIEW AND LANGLEY|(43.6678124, -79.35334499999999)
PARLIAMENT AND ADELAIDE|(43.653568, -79.3635754)
KING AND SPADINA|(43.64550450000001, -79.39492159999999)
LONG BRANCH LOOP|(43.5919725, -79.5438952)
DUNDAS AND YONGE|(43.656325, -79.38090299999999)
THE QUEENSWAY AND KING ST.|(43.6387919, -79.4461334)
QUEEN ST. WEST AND JOHN ST.|(43.6498656, -79.3910745)
COXWELL AT GERRAD|(43.6753569, -79.32028249999999)
BROADVIEW AVE AT WOLFREY|(43.6729037, -79.3557688)
BATHURST & FLEET|(43.6367945, -79.3998864)
NEVILLE PARK.|(43.6737566, -79.2815422)
GERRARD AND BROADVIEW,|(43.6654831, -79.35263359999999)
DUNDAS/DENISON|(nan, nan)
RONCY CAR HOUSE|(nan, nan)
BROADVIEW/DUNDAS|(43.6769104, -79.3581849)
BROADVIEW AVE AT DUNDAS ST. E.|(43.6624664, -79.351366)
DUNDAS/SACKVILLE|(43.6605029, -79.3634256)
RONCEVALLES YARD|(43.6463098, -79.4490457)
COLLEGE AND DOVERCOURT|(43.658187, -79.4281812)
DUNDAS/DUFFERIN|(43.64951540000001, -79.4312118)
DUNDAS/PARLIAMENT|(43.659693, -79.36574399999999)
DUNDAS AND GRACE|(43.5106999, -79.6946094)
KING ST. W. AT YORK ST.|(43.6479288, -79.38354919999999)
BATHURST AND ST.CLAIR|(43.6830782, -79.4182617)
NEVILLE TO HUMBER|(43.7288232, -79.6065799)
DUNDAS AND LANSDOWNE|(43.6501696, -79.43974519999999)
ULSTER& BATHURST|(43.6598108, -79.409058)
DUNDAS AND SPADINA|(43.65291269999999, -79.39815469999999)
DUNDAS&BATHUST|(43.6522958, -79.4060126)
QUEEN ST. WEST AND DUFFERIN ST.|(43.642226, -79.4286137)
DUNDAS AND HURON|(43.580242, -79.6163909)
NEVILLE PARK LOOP|(43.6737566, -79.2815422)
QUEEN AND CLAREMOUNT|(43.646071, -79.4095504)
QUEEN AND JARVIS|(43.6538073, -79.3736231)
QUEEN & CONNAUGHT|(nan, nan)
LAKESHORE AND 37TH STREET|(43.5934222, -79.5381821)
BATHURST/DUNDAS|(43.65234419999999, -79.40680950000001)
DUNDAS AT BATHURST|(43.6522958, -79.4060126)
BROADVIEW AT WOLFREY|(43.6742466, -79.3570514)
RONCY AND QUEEN|(nan, nan)
KING AND JAMESON|(43.637178, -79.436008)
QUEENS QUAY/REES|(43.6441304, -79.3684435)
QUEEN AND SHAW|(43.6447019, -79.41627869999999)
PARLIAMENT TO BROADVIEW|(nan, nan)
GERRARD AND PARLIMENT|(43.66194780000001, -79.36702509999999)
SPADINA/RICHMOND|(43.6477238, -79.3963574)
MAIN STATION|(43.6889948, -79.301919)
BROADVIEW AT GERRARD|(43.6654831, -79.35263359999999)
DUFFERIN AND KING|(43.638954, -79.4273614)
COLLEGE AND PALMERSTON|(43.6559652, -79.41014899999999)
FLEET/FORT YORK|(nan, nan)
QUEEN ST. E. AT RIVER.|(43.6637879, -79.3278595)
QUEEN AND SUMACH|(43.6616959, -79.3609096)
BATHURST/KING|(43.939099, -79.481647)
UNIVERSITY AND KING|(43.6476565, -79.3848108)
LONG BR. LOOP.|(43.5921181, -79.5436008)
JONES & GERARRD|(nan, nan)
RONCESVALLES AVE. AND HOWARD PARK AVE.|(43.6514994, -79.4510634)
RONCESVALLES YARD.|(43.6463098, -79.4490457)
QUEEN AND BOULTON|(nan, nan)
LAKESHORE AND SUMMERHILL|(43.612145, -79.4898891)
RONCY YARD|(nan, nan)
QUEEENSWAY AND KINGSWAY|(43.6253329, -79.5072058)
GERRARD AND PARLIAMENT|(43.66194780000001, -79.36702509999999)
QUEENSWAY AND SOUTH KINGSWAY|(43.6253329, -79.5072058)
QUEEN AND CHURCH|(nan, nan)
COLLEGE AND UNIVERSITY|(nan, nan)
HIGH PARK TO MAIN STATION|(43.64654789999999, -79.4636903)
GERRARD AND ASHDALE|(43.6723091, -79.32182019999999)
QUEEN ST. E. AT PAPE.|(43.6637879, -79.3278595)
QUEEN ST. E AT PAPE.|(43.6637879, -79.3278595)
SHAW AND KING|(43.6414282, -79.4149971)
RONCENVALLES AND DUNDAS|(43.6538732, -79.451805)
SPADINA AND KING|(43.64550450000001, -79.39492159999999)
ST.CLAIR AT YOUNG|(nan, nan)
KING AND SPRINGHURST|(43.636899, -79.43734289999999)
QUEEN ST. E AT VICTORIA.|(43.6525574, -79.3782876)
SUNNYSIDE LOOP|(43.6389491, -79.4480308)
QUEEN ST. EAST AND CONNAUGHT AVE.|(43.6650248, -79.32236)
THE QUEENSWAY AND KING ST. WEST|(43.6387919, -79.4461334)
QUEEN ST. WEST AND BAY ST.|(43.6518897, -79.38173239999999)
GERRARD & COXWELL|(43.6753569, -79.32028249999999)
DUNDAS & BROADVIEW|(43.6624664, -79.351366)
BATHURST STATION|(43.6660011, -79.4112152)
QUEEN ST B/W|(43.644334, -79.4180164)
LONG BRANCH LOOP TO NEVILLE LOOP|(43.6737566, -79.2815422)
FLEET AND BATHURST|(43.6367945, -79.3998864)
QUEEN AND AGUSTA AVE|(43.6480658, -79.39964859999999)
UNION STN-CNE LOOP|(nan, nan)
BATHUSRT STN-CNE LOOP|(43.893229, -79.4693962)
BATHURST/NASSAU|(43.6542889, -79.4068205)
DUNDAS AT COLLEGE|(43.26650890000001, -79.9568685)
QUEEN AND WOODBINE|(43.6828384, -79.3115968)
THE QUEENSWAY AND WINDERMERE|(43.6373075, -79.47000729999999)
ST.CLAIR W. AND NORTHCLIFF|(43.6785033, -79.44085319999999)
ST.CLAIR W. AND OAKWOOD|(43.6794987, -79.4358172)
QUEEN AND PETER|(43.6493175, -79.3936437)
FORT YORK/FLEET|(nan, nan)
UNION ST|(43.862119, -79.311075)
COLLEGE AND BATHURST|(43.65418, -79.4071017)
QUEEN AND JAMESON|(43.6404714, -79.4372735)
BATHURST/FLEET|(43.893229, -79.4693962)
SPADINA STN|(43.6671711, -79.40435339999999)
SPADINA STN TUNNEL|(43.6671711, -79.40435339999999)
COXWELL AND GERRARD|(43.673334, -79.319706)
RONCENVALLES AND GARDEN AVE|(43.6436962, -79.448043)
BRANT AND KING|(43.6449434, -79.3976004)
RONCENVALLES AND QUEEN|(43.644334, -79.4180164)
QUEEN LINE|(45.627605, -76.764134)
RUSSELL GARAGE|(nan, nan)
BATHURST/QUEEN|(43.6471969, -79.4039809)
RUSSEL YARD`|(43.9140582, -79.3992315)
QUEEN ST. W. AT AUGUSTA.|(43.644334, -79.4180164)
FERN AND RONCENVALLES|(43.6445264, -79.4483595)
CRAWFORD AND COLLEGE|(nan, nan)
QUEENSWAY AT COLBORNE LODGE.|(43.639606, -79.4595894)
ST. CLAIR WEST STATION|(43.6841895, -79.4154172)
PARLIAMENT AND KING|(nan, nan)
QUEENS QUAY AT YORK|(43.6400699, -79.38020019999999)
KING AND PARLIAMENT|(43.65420599999999, -79.36097459999999)
SPADINA AT HARBORD|(43.6630939, -79.4020097)
RONCY AND HOWARD PARK|(nan, nan)
QUEEN ST. EAST AND CONNAUGHT|(43.6650248, -79.32236)
LOWER SPADINA AVE. AND QUEENS QUAY|(43.6377243, -79.39198189999999)
QUEEN AND RONCRSVALLES|(43.644334, -79.4180164)
GUNN'S LOOP|(43.671913, -79.47184)
COXWELL & GERRARD|(43.673334, -79.319706)
QUEEN AND RONCESVALLES.|(43.644334, -79.4180164)
RONCESVALLES & QUEEN|(43.6406044, -79.4366461)
RONCESVALLES AND QUEEN.|(43.644334, -79.4180164)
BATHURST/BLOOR|(43.665132, -79.411208)
QUEENS QUAY/SPADINA|(43.6527581, -79.398087)
ST.CLAIR W. AND LANSDOWN|(43.6763452, -79.4505978)
QUEEN AND PARLIAMENT|(43.6549833, -79.36390279999999)
LOWER GERRARD AND LESLIE|(43.6708856, -79.3280752)
FLEET/STADIUM RD|(nan, nan)
ST.CLAI.W AND AVENUE RD.|(43.6865435, -79.40145729999999)
CHURCH AND DUNDAS|(43.6565, -79.3771328)
SPADINA LOOP|(43.6527581, -79.398087)
QUEEN ST. E. WEST OF EASTERN.|(43.6637879, -79.3278595)
QUEEN ST. EAST AND GREENWOOD AVE.|(43.6643718, -79.3252892)
QUEEN ST. WEST AND BROCK ST.|(43.644334, -79.4180164)
MAIN ST. AND UPPER GERRARD ST.|(43.6708856, -79.3280752)
COXWELL AND QUEEN|(43.6819241, -79.3229987)
QUEEN AND COXWELL|(43.6819241, -79.3229987)
DUNDAS & LANSDOWN|(43.6501696, -79.43974519999999)
COLLEGE/DUNDAS|(43.26650890000001, -79.9568685)
RONCESVALLES AT QUEEN.|(43.6464617, -79.4435762)
GUNNS LOOP|(43.671913, -79.47184)
BROADVIEW & QUEEN|(nan, nan)
COLLEGE/BATHURST|(43.6564329, -79.4093943)
KING AND CHURCH|(nan, nan)
DUNDAS AND SHERBOURNE|(43.65830649999999, -79.3709983)
QUEEN AND KINGSTON RD|(43.7619783, -79.1946749)
COLLEGE/LANSDOWNE|(nan, nan)
GERRARD/ST MATHEWS|(43.66482910000001, -79.35518569999999)
QUEEN ST. W. AT PETER ST.|(43.6493175, -79.3936437)
FLEET AND STARCHAN|(43.6361837, -79.4095991)
FLEET AND STRACHAN|(43.6361837, -79.4095991)
CARLTON/SHERBOURNE|(43.661228, -79.3722185)
SPADINA AND SUSSEX|(43.6646377, -79.40282859999999)
ST. CLAIR AT BATHURST|(43.6830782, -79.4182617)
HUMBER LOOP.|(43.631195, -79.47850799999999)
QUEENSWAY AT ELLIS.|(43.63760000000001, -79.466629)
LANSDOWNE & DUNDAS|(43.6501696, -79.43974519999999)
ST. CLAIR AT WYCHWOOD|(43.6822108, -79.423504)
ST. CLAIR AT CHRISTIE|(43.6816341, -79.4257045)
JAMESON AND QUEEN|(43.6404714, -79.4372735)
SPADINA AND ST ANDREW|(43.6543785, -79.39873)
STRACHAN AND QUEEN|(43.64533489999999, -79.4131843)
GRACE AND COLLEGE|(nan, nan)
RIVER AND QUEEN|(nan, nan)
RONCESVALLES & HOWARD PARK|(43.6514994, -79.4510634)
HUMBER LOOP TO NEVILLE|(43.631195, -79.47850799999999)
RONCY TO LONG BRANCH|(40.30427780000001, -73.9923596)
KIPLING TO LONG BRANCH|(40.30427780000001, -73.9923596)
BATHURST @ FLEET|(43.6367945, -79.3998864)
COLLEGE AND LANSDOWN|(nan, nan)
ROCESVALLES CARHOUSE|(43.6393154, -79.4466387)
BROADVIEW TO NEVILLE|(nan, nan)
RONCESVALLES CARHOUSE|(43.6393154, -79.4466387)
KING AT NIAGARA|(43.6428972, -79.4077039)
UNIVERSITY AND QUEEN|(43.6508639, -79.3864337)
CONNAUGHT TO NEVILLE|(nan, nan)
SPADINA@ DUNDAS|(43.65291269999999, -79.39815469999999)
KING WEST AT RONCESVALLES|(43.6387919, -79.4461334)
COLLEGE AND DUFFERIN|(43.652555, -79.4325456)
OSSINGTON AND QUEEN|(43.644171, -79.4188508)
KING AT BRANT|(43.6449434, -79.3976004)
KING @ SPENCER|(nan, nan)
KING AT SPENCER|(nan, nan)
DUNDAS AND SHERIDAN|(43.6497658, -79.4336617)
24 TH STREET AND LAKESHORE|(43.5969802, -79.5224776)
QUEEN AND BROCK|(43.644334, -79.4180164)
ST.CLAIR WEST STATION|(43.6841895, -79.4154172)
QUEEN AND SACKVILLE|(nan, nan)
QUEEN AT SACKVILLE|(nan, nan)
CONNAUGHT AND QUEEN|(nan, nan)
ST.CLAIR AND EARLSCOURT|(43.6770415, -79.44744550000001)
DUNDAS W STN TO BROADVIEW STN|(43.6769104, -79.3581849)
LAKESHORE AND 31 ST STREET|(43.5952384, -79.5302928)
LANSDOWNE & COLLAGE|(51.51121149999999, -0.1896364)
BROADVIEW AND DUNDS|(43.6624664, -79.351366)
COLLEGE AND LNSDOWN|(nan, nan)
QUEEN WOODBINE|(43.7144731, -79.6041188)
GERRARD/COXWELL|(43.673334, -79.319706)
SPADINA STN TO UNION|(43.6671711, -79.40435339999999)
RONCESVALLES YARD-TRACK #7|(43.6463098, -79.4490457)
HOWARD PARK/RONCESVALLES|(43.6464617, -79.4435762)
CNE TO BATHURST STN|(43.6660011, -79.4112152)
ST.CLAIR STATION|(43.6874845, -79.3930467)
ST.CLAIR AVENUE|(43.6770883, -79.4465923)
ST. CLAIR AND GUNNS LOOP|(43.6718533, -79.4711359)
COLLEGE ST. AND BATHURST ST.|(43.6564647, -79.4077012)
SCW STN|(nan, nan)
QUEEN AT AUGUSTA|(43.6480658, -79.39964859999999)
QUEEN AT CONNAUGHT|(nan, nan)
LONGBRANCH LOOP|(43.5919725, -79.5438952)
OSSINGTON TO BROADVIEW STN|(43.6595215, -79.4246695)
GERRARD AND COXWELL|(43.673334, -79.319706)
QUEEN AT SPADINA|(nan, nan)
CHARLOTTE LOOP|(43.15747409999999, -77.59598570000001)
RUSESELL YARD|(nan, nan)
QUEEN ST. W. AT SOHO.|(43.6493655, -79.39340829999999)
EASTERN AND ERIN|(nan, nan)
QUEEN ST. W. AT OSSINGTON.|(43.644171, -79.4188508)
QUEEN ST. W. AT SHAW.|(43.6447019, -79.41627869999999)
DUNDAS AT DUNDAS WEST STATION|(43.6568393, -79.45333409999999)
QUEEN ST. WEST AND BATHURST ST.|(43.6471969, -79.4039809)
QUEEN ST. WEST AND RONCESVALLES AVE.|(43.6463098, -79.4490457)
RONCESVALLES AVE. AND THE QUEENSWAY|(43.6387919, -79.4461334)
COXWELL LOOP|(nan, nan)
QUEEN AT PARLIAMENT|(nan, nan)
CARLTON AND CHURCH|(43.6619015, -79.3793625)
KING AND WILSON PARK|(43.636631, -79.4415691)
QUEEN AT GREENWOOD|(nan, nan)
QUEEN AT GLEN MANOR|(nan, nan)
KINGSTON RD AND SCARBORO RD.|(43.6805346, -79.28712089999999)
QUEEN AT KINGSTON RD|(43.7619783, -79.1946749)
QUEEN AT HUMBER LOOP|(43.631195, -79.47850799999999)
RONCESVALLES CAR HOUSE|(43.6393154, -79.4466387)
BROADVIEW STN|(43.6769104, -79.3581849)
LONG BRANCH - NEVILLE LOOP|(40.30427780000001, -73.9923596)
ST.CLAIR W.STATION|(43.6841895, -79.4154172)
ST>CLAIR W STATION|(43.6841895, -79.4154172)
NEVIILLE LOOP TO LONG BRANCH LOOP|(43.6737566, -79.2815422)
QUEEN AT SHERBOURNE|(43.661228, -79.3722185)
QUEEN AT RONCY|(nan, nan)
KING AND YONGE,|(43.6491589, -79.37789219999999)
QUEEN AT KINGSTON RD.|(43.7619783, -79.1946749)
QUEEN AT WINDERMERE|(nan, nan)
SPADINA/ADELAIDE|(-34.9284989, 138.6007456)
QUEEN AT NEVILLE|(nan, nan)
QQ/SPADINA|(nan, nan)
KING AT CHURCH|(43.2673, -79.96157)
QUEEN AT LEE|(nan, nan)
BATHURST/LONDON ST.|(43.6666204, -79.4118032)
BATHURST STN|(43.6660011, -79.4112152)
BATHURST @ QUEEN|(43.6471969, -79.4039809)
SHERBOURNE|(43.661228, -79.3722185)
ST.CLAIR W.ST.|(43.6770883, -79.4465923)
CHURCH AND KING|(nan, nan)
KING AT ONTARIO|(43.661625, -79.3696496)
SPADINA/SULLIVAN|(43.6527581, -79.398087)
LAUGHTON AND ST.CLAR.W|(43.6746509, -79.4575967)
RUSSELL|(nan, nan)
QUEEN AND KENT|(43.6512846, -79.382263)
WINNONA @ ST.CLAIR|(43.680195, -79.4324721)
AVENUE RD, @ ST.CLAIR|(43.6865435, -79.40145729999999)
OSSINGTON AND COLLEGE|(43.6595215, -79.4246695)
EXHIBITION LOOP|(43.6362392, -79.4155857)
QUEENS QUAY AT DAN LECKIE WAY|(43.6366169, -79.39667659999999)
QUEEN ST. E. AT BROADVIEW.|(43.6637879, -79.3278595)
KING STREET AND SPADINA AVENUE|(43.64550450000001, -79.39492159999999)
QUEEN ST. E. AT CONNAUGHT.|(43.6650248, -79.32236)
GREENWOOD AVE. TO CONNAUGHT AVE.|(43.7869282, -79.4288568)
SPADINA AVE.  AND SULLIVAN ST.|(43.6508824, -79.3973219)
BATHURST AT KING|(43.64390350000001, -79.4026703)
KING AT BATHURST.|(43.64390350000001, -79.4026703)
QUEEN AT RONCESVALLES.|(43.6464617, -79.4435762)
QUEEN AT VICTORIA|(nan, nan)
QUEEN AT ROCESVALLES|(43.6464617, -79.4435762)
HIRH PARK TO MAIN STATION|(43.64654789999999, -79.4636903)
ST CLAIR W. AND LANSDOWN|(43.6763452, -79.4505978)
ST CLAIR WEST STATION|(43.6841895, -79.4154172)
SUNNYSIDE AND HOWARD PARK|(43.6510456, -79.4533658)
GUNNS LOOP EXITING TO R.O.W.|(43.671913, -79.47184)
JARVIS AND DUNDAS|(43.657093, -79.3745627)
DUNDAS AND JARVIS|(43.657093, -79.3745627)
SPADINA AVE. AND KING ST. WEST|(43.64550450000001, -79.39492159999999)
QUEEN ABD RONCESVALLES|(43.644334, -79.4180164)
BATHURST AT KING.|(43.64390350000001, -79.4026703)
BROADVIEW AT DUNDAS|(43.6624664, -79.351366)
QIUEEN AT RONCESVALLES|(43.6464617, -79.4435762)
EDNA AVE|(43.6568197, -79.4548738)
DUNDAS AND BATHURST|(43.6522958, -79.4060126)
QUEEN AT SUMACH|(nan, nan)
KING AND RONCESVALLES|(43.6387919, -79.4461334)
SPADINA/WILLCOCKS|(nan, nan)
KING AND YONGE|(43.6491589, -79.37789219999999)
DUNDAS AND BAY|(43.6557389, -79.38374019999999)
QUEEN AND RIVER|(nan, nan)
QUEEN AT RIVER|(nan, nan)
QUEEN ST. E. AT VICTORIA.|(43.6525574, -79.3782876)
ST CLAIR AVENUE AND DUNVEGAN|(43.6860401, -79.40477059999999)
FLEET LOOP|(43.6360853, -79.4047213)
RONCESVALLES AT GRENADIER|(43.6489406, -79.4500642)
DUNDAS ST. WEST AND DENISON ST.|(43.6520368, -79.4022396)
QUEEN ST. EAST AND KINGSTON RD.|(43.6672211, -79.3125987)
SPADINA AT KING|(43.6527581, -79.398087)
LONG BRANCH - NEVILLE PARK|(40.30427780000001, -73.9923596)
CNE TO UNION STATION|(43.6452621, -79.3805536)
STA CLAIR STATION|(43.6874845, -79.3930467)
KING AT SPADINA|(43.6527581, -79.398087)
PARLAMENT AT ADELIADE|(43.653568, -79.3635754)
PARLAMENT AT ADELIADE.|(43.653568, -79.3635754)
BATHURST NORTH OF COLLEGE|(nan, nan)
ST CLAIR AND VAUGHAN|(43.6827095, -79.4200063)
GERRARD AND RIVER|(43.6708856, -79.3280752)
SPADINA AND ADELAIDE|(43.6467659, -79.3954519)
BROADVIEW @ DUNDAS|(43.6624664, -79.351366)
ST CLAIR AND AVENUE RD|(43.6865435, -79.40145729999999)
SPADINA AT QUEENS QUAY|(43.6487579, -79.396276)
DUNDAS AND STERLING|(43.65067759999999, -79.4430582)
STERLLING & DUNDAS|(43.5106999, -79.6946094)
JARVIS & DUNDAS|(43.657093, -79.3745627)
QUEEN AND GLENMANOR ROAD|(nan, nan)
QUEENSWAY/COLBORNE LODGE|(43.639606, -79.4595894)
QUEEN/SPADINA|(43.6501709, -79.3974004)
QUEEN/SHAW|(nan, nan)
QUEEN/CONNAUGHT|(22.2884, 114.14735)
QUEEN/PAPE|(nan, nan)
RONCESVALLES/QUEENSWAY|(43.6253329, -79.5072058)
SPADINA @ DUNDAS|(43.65291269999999, -79.39815469999999)
QUEENS QUAY EAST OF SPADINA|(43.6527581, -79.398087)
